20240922_0719 | w2v_20240921_1_mc5_w13_v100 	| euc 	| spearmanr | 0.0583 | 0.0 | 32.09s 
20240922_0719 | w2v_20240921_1_mc5_w13_v100 	| cos 	| pearsonr | -0.0094 | 0.0 | 16.77s 
20240922_0719 | w2v_20240921_1_mc5_w13_v100 	| cos 	| spearmanr | -0.0135 | 0.0 | 32.21s 
20240922_0719 | w2v_20240920_1_mc8_w44_v25_g50 	| euc 	| pearsonr | 0.0856 | 0.0 | 16.81s 
20240922_0719 | w2v_20240920_1_mc8_w44_v25_g50 	| euc 	| spearmanr | 0.1103 | 0.0 | 28.53s 
20240922_0719 | w2v_20240920_1_mc8_w44_v25_g50 	| cos 	| pearsonr | 0.0285 | 0.0 | 15.42s 
20240922_0719 | w2v_20240920_1_mc8_w44_v25_g50 	| cos 	| spearmanr | 0.0279 | 0.0 | 27.32s 
20240922_0719 | w2v_20240921_0_mc8_w44_v500 	| euc 	| pearsonr | 0.0539 | 0.0 | 15.43s 
20240922_0719 | w2v_20240921_0_mc8_w44_v500 	| euc 	| spearmanr | 0.0556 | 0.0 | 30.07s 
20240922_0719 | w2v_20240921_0_mc8_w44_v500 	| cos 	| pearsonr | 0.0203 | 0.0 | 17.59s 
20240922_0719 | w2v_20240921_0_mc8_w44_v500 	| cos 	| spearmanr | 0.0241 | 0.0 | 30.93s 
20240922_0719 | w2v_20240921_0_mc5_w44_v250 	| euc 	| pearsonr | 0.0539 | 0.0 | 21.3s 
