20240917_1900 | w2v_20240911_sg1_mc1_w13_v10 	| euc 	| 0.9597 	|  0.0403 | 0.0196 | 57.02s 
20240917_1900 | w2v_20240911_sg1_mc1_w13_v10 	| cos 	| 0.9816 	|  0.0184 | 0.0196 | 59.56s 
20240917_1900 | w2v_20240911_skip_mc5_w3_v25 	| euc 	| 0.951 	|  0.049 | 0.0196 | 34.9s 
20240917_1900 | w2v_20240911_skip_mc5_w3_v25 	| cos 	| 0.9529 	|  0.0471 | 0.0196 | 26.13s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v5 	| euc 	| 0.9705 	|  0.0295 | 0.0196 | 52.1s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v5 	| cos 	| 0.9797 	|  0.0203 | 0.0196 | 57.88s 
20240917_1900 | w2v_20240911_sg1_mc1_w21_v50 	| euc 	| 0.948 	|  0.052 | 0.0196 | 55.89s 
20240917_1900 | w2v_20240911_sg1_mc1_w21_v50 	| cos 	| 0.9935 	|  0.0065 | 0.2157 | 54.8s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v25 	| euc 	| 0.9388 	|  0.0612 | 0.0196 | 32.43s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v25 	| cos 	| 0.957 	|  0.043 | 0.0196 | 25.77s 
20240917_1900 | w2v_20240910_sg1_mc3_w5_v25 	| euc 	| 0.9449 	|  0.0551 | 0.0196 | 23.27s 
20240917_1900 | w2v_20240910_sg1_mc3_w5_v25 	| cos 	| 0.9589 	|  0.0411 | 0.0196 | 30.39s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v10 	| euc 	| 0.9604 	|  0.0396 | 0.0196 | 20.16s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v10 	| cos 	| 0.9643 	|  0.0357 | 0.0196 | 21.36s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v25 	| euc 	| 0.9362 	|  0.0638 | 0.0196 | 17.31s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v25 	| cos 	| 0.9634 	|  0.0366 | 0.0196 | 17.05s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v50 	| euc 	| 0.9536 	|  0.0464 | 0.0196 | 57.48s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v50 	| cos 	| 0.9832 	|  0.0168 | 0.0196 | 57.96s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v5 	| euc 	| 0.9529 	|  0.0471 | 0.0196 | 39.18s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v5 	| cos 	| 0.9613 	|  0.0387 | 0.0196 | 29.56s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v25 	| euc 	| 0.9414 	|  0.0586 | 0.0196 | 31.27s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v25 	| cos 	| 0.9625 	|  0.0375 | 0.0196 | 27.74s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v25 	| euc 	| 0.9434 	|  0.0566 | 0.0196 | 28.67s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v25 	| cos 	| 0.9608 	|  0.0392 | 0.0196 | 24.35s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v50 	| euc 	| 0.9476 	|  0.0524 | 0.0196 | 30.68s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v50 	| cos 	| 0.9789 	|  0.0211 | 0.0196 | 33.9s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v10 	| euc 	| 0.9604 	|  0.0396 | 0.0196 | 19.24s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v10 	| cos 	| 0.9565 	|  0.0435 | 0.0196 | 19.8s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v10 	| euc 	| 0.9563 	|  0.0437 | 0.0196 | 32.8s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v10 	| cos 	| 0.9721 	|  0.0279 | 0.0196 | 31.81s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v25 	| euc 	| 0.9341 	|  0.0659 | 0.0196 | 30.03s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v25 	| cos 	| 0.9616 	|  0.0384 | 0.0196 | 30.8s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v50 	| euc 	| 0.9559 	|  0.0441 | 0.0196 | 48.62s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v50 	| cos 	| 0.9836 	|  0.0164 | 0.0196 | 61.2s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v5 	| euc 	| 0.9545 	|  0.0455 | 0.0196 | 38.93s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v5 	| cos 	| 0.9587 	|  0.0413 | 0.0196 | 24.61s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v5 	| euc 	| 0.9481 	|  0.0519 | 0.0196 | 18.94s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v5 	| cos 	| 0.952 	|  0.048 | 0.0196 | 27.45s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v10 	| euc 	| 0.9597 	|  0.0403 | 0.0196 | 55.78s 
20240917_1900 | w2v_20240911_sg1_mc1_w8_v10 	| cos 	| 0.9806 	|  0.0194 | 0.0196 | 63.07s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v25 	| euc 	| 0.9344 	|  0.0656 | 0.0196 | 31.83s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v25 	| cos 	| 0.9621 	|  0.0379 | 0.0196 | 18.82s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v50 	| euc 	| 0.9496 	|  0.0504 | 0.0196 | 16.64s 
